"group","year","female","age","rank","group_size","died","days_survived_this_year_this_group","gg_mean","gg_sd","gr_mean","gr_sd","sg_mean","sg_sd","sr_mean","sr_sd","f_mean","f_sd"
5,2017,17,24,0.760269153,14.36,0,365,0.781325094,0.626622299,0.834055959,0.668564412,0.260565898,0.63883216,0.183828959,0.370710963,0.454166471,0.947004738
5,2018,17,25,0.735975176,16.33333333,0,365,0.191608948,0.804455664,0.291497898,0.717412552,0.06429916,0.72552401,0.018427517,0.417435742,-0.187282474,0.967836171
5,2019,17,26,0.811672376,18.25,0,365,-0.036743539,0.94548434,-0.020187982,0.843565924,0.616789671,0.535202382,0.3328475,0.311133067,0.879448581,0.81409071
3,2007,18,7,0.241581495,4.904761905,0,302,1.866362196,0.53987186,-0.260712143,0.659178435,0.945361808,0.411973006,0.526493915,0.264210683,1.030396365,0.803529582
3,2008,18,8,0.283936547,5.6,0,366,1.032827364,0.695733513,-0.426022823,0.751084435,1.195544096,0.578152128,0.61957443,0.340442841,0.539977923,0.867859018
3,2009,18,9,0.471176913,5.333333333,0,365,1.054299827,0.697434776,-0.397708659,0.760175125,0.118049168,0.678322283,0.086690003,0.389152627,-0.003823356,0.957476054
3,2010,18,10,0.687229432,7.571428571,0,365,0.992799804,0.788816277,-0.096426825,0.786322122,-0.079022092,0.861254975,-0.04310478,0.477088909,-0.078869908,0.980540658
3,2011,18,11,0.628325321,9.24,0,365,1.715829959,0.601231723,-0.402435386,0.725178923,1.842432709,0.497835171,1.004095959,0.301745054,-0.077304968,0.944976623
3,2012,18,12,0.565079391,8.388888889,1,73,0.410071795,0.842032575,-0.07240144,0.800616523,0.363485559,0.774573896,0.183343934,0.433937866,0.323510374,1.012439945
5,2007,18,7,0.083333333,31.3852459,0,365,-0.133534884,0.915901605,-0.061770437,0.812862747,-0.287876786,0.791946388,-0.150345617,0.455164044,-0.02222058,0.983976306
7,2005,18,5,0.184490301,15.375,0,365,0.209119894,0.607192888,0.186710988,0.593159643,-0.413847332,0.626472277,-0.228086532,0.36107689,0.604713176,0.781432221
7,2006,18,6,0.289442791,17.23728814,0,365,0.912511196,0.498143929,0.3545222,0.525114247,-0.643893288,0.677985189,-0.375307219,0.388584882,-0.316143221,0.81152417
7,2007,18,7,0.296744575,15.7,0,63,0.397974605,0.712369949,-0.404156403,0.736049044,0.798794888,0.676248596,0.433572211,0.385633626,-0.430718455,0.96404545
5,2003,19,5,0.173751165,30.04225352,0,365,-0.078386699,0.725479493,0.138214543,0.689143889,-1.54755375,0.573611663,-0.837443024,0.335377054,0.227842566,0.730103387
5,2004,19,6,0.174928411,33.36315789,0,366,-0.520521969,0.824164899,-0.318982876,0.77330029,-2.089315122,0.495999595,-1.109790679,0.290490968,-1.591503144,0.643923783
5,2005,19,7,0.19129763,34.20114943,0,365,0.64706796,0.411456521,-0.386821063,0.511643996,-1.218520769,0.321899968,-0.626673894,0.214088138,-1.147755838,0.624511859
5,2006,19,8,0.270714988,37.37423313,0,365,0.978082629,0.340187632,-0.125683633,0.446121103,-0.505742062,0.27010571,-0.268997302,0.186526156,-1.066413061,0.622718101
5,2007,19,9,0.250898155,31.3852459,0,365,0.514865401,0.435312589,-0.379140576,0.562820624,-0.817555393,0.354742261,-0.447850865,0.220640667,-1.028576974,0.681508654
