"group","year","female","age","rank","group_size","died","days_survived_this_year_this_group","gg_mean","gg_sd","gr_mean","gr_sd","sg_mean","sg_sd","sr_mean","sr_sd","f_mean","f_sd"
11,2006,13,13,0.237940952,13.2,0,365,-0.094695928,1.380334092,-0.01515933,0.349470713,-0.227450874,0.990893063,-0.125640462,0.550205449,-0.345607047,0.951939211
11,2009,13,16,0.296917177,24.66666667,0,365,-0.775181604,1.187812233,-0.108726457,0.340278828,-1.05281483,0.823645616,-0.591831166,0.460373723,-1.050205121,0.753012165
11,2010,13,17,0.316192813,25.14705882,0,365,0.049132876,0.379389876,-0.119964795,0.264192659,0.106560717,0.317110383,0.052059366,0.23547888,-0.436787698,0.544927728
11,2011,13,18,0.203771283,26.76666667,0,365,0.660446431,0.517850974,0.083490405,0.298978303,0.113959867,0.420938127,0.114355556,0.273373055,-0.9421287,0.643684982
11,2012,13,19,0.178329668,29.375,1,237,0.608370479,0.458790047,-0.033566876,0.284353658,0.239489816,0.415807617,0.110187751,0.293697392,-1.203578517,0.706076857
2,2013,14,11,0.364744384,12.55555556,0,194,-0.468819379,0.853911251,0.0426958,0.316779634,-0.077243552,0.692695862,0.069047767,0.388660376,0.398857096,0.788825647
2,2014,14,12,0.389272019,14,0,365,1.031464634,0.572109288,-0.094394983,0.31106666,0.160483058,0.656047448,0.144061496,0.38463305,-0.496050209,0.776744683
2,2015,14,13,0.330303038,14.56521739,1,223,1.199168227,0.454498951,0.015259684,0.296759297,-0.568533741,0.697812733,-0.32455393,0.402949245,-0.089273953,0.740833854
3,2007,14,5,0.11646465,4.904761905,0,302,2.795717183,0.373217576,0.213551806,0.298669076,1.625103158,0.375297201,0.840169165,0.268096345,1.116525793,0.760639585
3,2008,14,6,0.070413439,5.6,0,366,3.450256467,0.391358947,0.104770681,0.303899262,0.849438711,0.525456592,0.321259221,0.335684599,1.025004316,0.774686692
3,2009,14,7,0.260433606,5.333333333,0,365,2.865875918,0.39822958,0.215716192,0.306638408,0.515249492,0.580644417,0.349565092,0.357544605,1.31199514,0.787468047
3,2010,14,8,0.264862922,7.571428571,0,365,2.494955867,0.482554996,0.133615343,0.323771641,-0.392671294,0.947562033,-0.20805927,0.525272675,0.311175844,0.80860033
3,2011,14,9,0.382348855,9.24,0,365,3.102645582,0.344618313,0.219982867,0.293411974,0.479291468,0.458166317,0.170973907,0.304118155,1.504505465,0.710621689
3,2012,14,10,0.654107198,8.388888889,0,366,2.785982137,0.40633597,0.365515806,0.310346934,1.985731338,0.334994395,1.299166758,0.259458854,0.796044444,0.739018611
3,2013,14,11,0.711172173,6,0,171,2.784617758,0.534408933,0.198601408,0.334088763,2.219543301,0.68739278,1.260181284,0.40185812,1.848082317,0.820515474
7,2007,14,5,0.256553229,15.7,0,63,1.938873413,0.351400781,-0.027912249,0.290482899,-0.505281945,0.752119346,-0.329589929,0.419952301,0.030262881,0.735357976
5,2012,15,5,0.669953599,23.41071429,0,366,1.736947785,0.328742924,0.054656094,0.270399023,0.739211975,0.264284994,0.328108355,0.206576855,-0.348021856,0.575785897
5,2013,15,6,0.652484724,18.83333333,1,347,1.758755501,0.502105071,0.138073511,0.307779041,1.647664379,0.293191425,0.886048807,0.226639948,-0.17312107,0.64588775
1,2004,16,5,0.670230691,17.22282609,0,366,2.480811215,0.288307812,0.009797907,0.265267737,1.567441216,0.206181753,0.698003694,0.18787217,1.195693866,0.537153094
1,2005,16,6,0.722922582,20.05128205,0,365,2.515039168,0.252154171,0.041821108,0.241605966,1.020958519,0.216022533,0.573138036,0.191434976,0.663478014,0.534917254
1,2006,16,7,0.76265651,22.12328767,1,331,2.193500241,0.244287833,-0.057681397,0.245781373,0.480233605,0.253897513,0.403168266,0.205525205,-0.50653823,0.544999277
5,2002,17,9,0.516972608,30,0,365,1.272092568,0.693701823,0.04449694,0.333840465,0.183023088,0.827011747,0.066833904,0.468529651,-0.315024612,0.802431008
5,2003,17,10,0.516525864,30.04225352,0,365,2.12397415,0.269081135,-0.003625833,0.26557106,-0.294839014,0.326121822,-0.121072312,0.234023099,-1.119415247,0.622506748
5,2004,17,11,0.49906341,33.36315789,0,366,2.039913484,0.261529003,0.231827091,0.257484889,0.309150056,0.210112006,0.353908619,0.177702793,-0.128352781,0.480826019
5,2005,17,12,0.508916693,34.20114943,0,365,1.783972204,0.222862469,0.31700482,0.223047608,-0.550252735,0.239538923,-0.077564778,0.191529925,-0.592544148,0.461384534
5,2006,17,13,0.488205533,37.37423313,0,365,2.237835331,0.209629842,0.178668708,0.219871098,0.285885029,0.193406544,0.445793633,0.164601543,-1.872069483,0.523730966
5,2007,17,14,0.574063286,31.3852459,0,365,1.691060089,0.299700579,0.25730084,0.258310837,1.038115134,0.181219603,0.56872654,0.16389448,-0.801707091,0.526510673
5,2008,17,15,0.832539368,17.8375,0,366,2.657606098,0.334201271,0.18401041,0.278825108,1.739960638,0.21692445,0.939382038,0.196128678,0.169363669,0.579449048
5,2009,17,16,0.843681006,19.21518987,0,365,2.169818583,0.286171374,0.214385221,0.253919834,1.123886617,0.269447089,0.543807635,0.219608925,0.292644019,0.596262487
5,2010,17,17,0.796841384,19.92,0,365,2.735274478,0.309824116,0.083680953,0.282192578,1.470480068,0.395849077,0.807998851,0.269979685,-0.882465077,0.744914373
5,2011,17,18,0.809052085,22.3030303,0,365,2.380601554,0.23632723,0.520047629,0.233295867,1.51866969,0.209737348,0.90923912,0.181139202,-0.164562799,0.566607933
5,2012,17,19,0.811422122,23.41071429,0,366,2.202527371,0.263682792,-0.105953513,0.257397008,1.444863049,0.22118488,0.696076615,0.195739448,-0.637701537,0.591118304
5,2013,17,20,0.808913022,18.83333333,0,365,2.252060852,0.419583948,0.315935642,0.301336316,1.351968982,0.303285861,0.768092012,0.234376162,0.653074999,0.629472327
5,2014,17,21,0.796784411,16.55555556,0,365,2.071205471,0.581537331,0.145534905,0.320435176,1.79298376,0.426975212,0.983830006,0.278792853,-1.118309048,0.841829637
5,2015,17,22,0.843526398,15.74285714,0,365,2.370963563,0.292351392,0.377150239,0.270625134,1.494324209,0.325644894,0.89129484,0.246072629,0.218393327,0.627417752
5,2016,17,23,0.744080317,11.88888889,0,366,1.88240378,0.475947037,0.023610247,0.307599903,1.723036253,0.448122165,0.907339675,0.293163313,0.583807192,0.738353484
5,2017,17,24,0.760269153,14.36,0,365,2.258294291,0.342137133,0.383042899,0.281293406,0.908777097,0.43058707,0.648654211,0.282612981,-0.271516913,0.766434068
